ID;height_cm;diameter_top_cm;handle;color;volume;starbucks;country;thermo;pic_front;pic_top
1;8.5;8.7;1;white;3;short;norway;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/001_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/001_t.heic
2;8.5;8.7;1;white;3;short;norway;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/002_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/002_t.heic
3;8.5;8.7;1;white;3;short;norway;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/003_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/003_t.heic
4;10;9;1;blue;3.5;grande;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/004_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/004_t.heic
5;10.2;9;1;white;4;grande;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/005_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/005_t.heic
6;8.5;8.5;1;beige;3;short;spain;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/006_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/006_t.heic
7;10;9;0;white, rose;3.5;grande;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/007_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/007_t.heic
8;10;9;0;white, grey;3.5;grande;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/008_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/008_t.heic
9;10.5;8;0;blue;3.5;grande;japan;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/009_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/009_t.heic
10;7.8;9.2;1;beige;3.5;grande;sweden;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/010_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/010_t.heic
11;10.5;8.7;1;greyblue;4;grande;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/011_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/011_t.heic
12;8.8;7.5;0;light green;2.5;short;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/012_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/012_t.heic
13;8.8;7.5;0;blue;2.5;short;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/013_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/013_t.heic
14;8;9;0;green;2.5;short;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/014_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/014_t.heic
15;10.7;8.5;1;green;3,5;grande;denmark;0;https://github.com/miesogaard/cupcollection/blob/main/Pictures/015_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/015_t.heic
16;9.8;8.5;0;white, green;3.5;grande;denmark;1;https://github.com/miesogaard/cupcollection/blob/main/Pictures/016_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/016_t.heic
17;9.8;8.5;0;white, blue;3.5;grande;denmark;1;https://github.com/miesogaard/cupcollection/blob/main/Pictures/017_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/017_t.heic
18;9.8;8.5;0;white, violet;3.5;grande;denmark;1;https://github.com/miesogaard/cupcollection/blob/main/Pictures/018_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/018_t.heic
19;9.8;8.5;0;white, grey;3.5;grande;denmark;1;https://github.com/miesogaard/cupcollection/blob/main/Pictures/019_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/019_t.heic
20;9.8;8.5;0;white, red;3.5;grande;denmark;1;https://github.com/miesogaard/cupcollection/blob/main/Pictures/020_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/020_t.heic
21;9.8;8.5;0;white, pink;3.5;grande;denmark;1;https://github.com/miesogaard/cupcollection/blob/main/Pictures/021_f.heic;https://github.com/miesogaard/cupcollection/blob/main/Pictures/021_t.heic
